,Total grapevine area,Share of crop area under vines,Total grape production,Grape yield per hectare,Wine grape production,Volume of wine production,Share of world wine production volume,Volume of beverage wine consumption,Share of world wine consumption volume,Volume of wine consumption per capita,Volume of wine consumption per adult,Volume of beer consumption per capita,Volume of spirits consumption per capita,Total alcohol (lal) consumption per capita,Total alcohol (lal) consumption per adult,Wine's share of total alcohol (lal) consumption,Volume of wine exports,Volume of wine imports,Share of wine production volume exported,Share of wine consumption volume imported,Wine self sufficiency by volume,Share of world wine X volume,Share of world wine M volume,Wine trade volume specialization index,Value of wine exports,Value of wine imports,Share of world wine export value,Share of world wine import value,Wine trade value specialization index,Wine's share of merchandise exports,Wine's share of merchandise imports,Index of comparative advantage in wine,Unit value of wine exports,Unit value of wine imports
2000,873,7.7,8870,10.2,7210,5409,19.5,2664,12.5,46.63,54.42,31.23,1.24,7.34,8.57,76.2,1731,57,32,2,203,30.3,0.5,0.94,2254,188,17.6,1.4,0.85,0.9,0.1,4.4,1.3,3.3
2001,860,7.7,8988,10.5,6971,5229,20.0,2621,12.4,45.73,53.33,32.01,1.01,7.17,8.36,76.5,1560,69,30,3,200,28.1,0.5,0.92,2319,161,18.0,1.2,0.87,1.0,0.1,4.2,1.5,2.4
2002,836,7.7,7394,8.8,5946,4460,17.6,2754,12.8,47.82,55.75,31.26,0.90,7.35,8.57,78.1,1535,91,34,3,162,26.5,1.0,0.89,2611,200,18.2,1.3,0.86,1.0,0.1,4.3,1.7,2.2
2003,836,7.9,7483,9.0,5877,4409,17.0,2920,13.3,50.40,58.75,33.36,0.79,7.70,8.98,78.5,1292,150,29,5,151,21.7,1.2,0.79,3032,268,17.3,1.5,0.84,1.0,0.1,4.1,2.3,1.8
2004,749,7.1,8692,11.6,7083,5314,17.8,2804,13.2,48.10,56.05,28.38,2.85,8.05,9.38,71.7,1393,164,26,6,190,21.6,1.5,0.79,3530,312,17.7,1.5,0.84,1.0,0.1,4.2,2.5,1.9
2005,755,7.3,8554,11.3,6740,5057,18.4,2791,12.9,47.59,55.46,28.55,2.81,7.98,9.30,71.6,1577,174,31,6,181,19.9,2.2,0.80,3706,345,17.9,1.6,0.83,1.0,0.1,4.6,2.4,2.0
2006,749,7.5,8327,11.1,6936,5204,18.6,2744,12.6,46.52,54.22,29.38,2.79,7.88,9.18,70.9,1809,147,35,5,190,23.3,1.8,0.85,4030,369,17.8,1.5,0.83,1.0,0.1,4.7,2.2,2.5
2007,782,8.1,7393,9.5,5667,4251,16.5,2717,12.2,45.82,53.39,30.63,2.74,7.82,9.11,70.3,1861,175,44,6,156,20.3,1.7,0.83,4830,493,17.5,1.7,0.81,1.0,0.1,4.4,2.6,2.8
2008,788,8.1,7793,9.9,6145,4610,17.5,2666,12.0,44.72,52.11,29.12,2.64,7.59,8.84,70.7,1790,182,39,7,173,18.5,1.7,0.82,5367,483,17.8,1.5,0.83,1.0,0.1,4.8,3.0,2.7
2009,802,8.1,8243,10.3,6658,4995,18.5,2601,11.8,43.45,50.63,28.69,2.54,7.38,8.59,70.7,1932,143,39,6,192,22.0,1.2,0.86,4861,350,18.9,1.3,0.87,1.2,0.1,5.3,2.5,2.4
Growth(% p.a),-1.23,0.49,-0.82,0.41,-0.84,-0.84,-0.87,-0.21,-0.74,-0.76,-0.78,-1.15,13.64,0.49,0.48,-1.25,2.45,11.12,3.30,11.33,-0.63,-4.24,12.96,-1.02,10.16,11.42,0.30,1.68,-0.22,1.29,1.63,1.90,7.71,0.29