Team ,Name,Number of Games Played,Time/Game,Points/Game,Rebounds/Game,Assists/Game,Steals/Game,Blocks/Game,Turnovers/Game,FG%,FT%,3P%,3PM,3PA
Uconn,KK Arnold,38,30.1,8.8,3.1,3.1,2.2,0.1,1.9,45.4,66.7,33.3,29,87
Uconn,Paige Bueckers,38,31.7,22,5.2,3.9,2.3,1.4,1.5,53.4,83.4,41.8,81,194
Uconn,Nika Muhl,38,32,6.8,4,6.5,1.2,0.2,2.6,46.3,57.1,39.7,48,121
Uconn,Ashlynn Shade,38,30.1,8.8,3.1,3.1,2.2,0.1,1.9,45.4,66.7,33.3,63,175
Baylor,Jana Van Gytenbeek,32,16,4.6,1,2.7,0.7,0,1.3,41.5,80,38.6,32,83
Baylor,Denae Fritz,25,8.2,1.6,0.9,0.4,0.3,0,0.6,37.2,20,22.2,6,27
Baylor,Sarah Andrews,34,29.7,11.4,2.4,3.9,1.3,0.2,1.9,38.1,67.5,35.9,75,209
Baylor,Bella Fontleroy,34,26.4,9.6,5,0.7,1.1,0.7,1.4,44.4,71.1,36.4,56,154
Baylor,Dre'una Edwards,34,23.4,11.6,6.4,2.1,1.6,0.6,2.4,49.2,69.6,34.7,34,98
Baylor,Aijha Blackwell,32,22,8.4,8.2,1.5,1.2,0.2,1.8,42.2,58.5,28.8,15,52
USC,Taylor Bigby,34,20.6,4.8,1.5,1.1,0.7,0.3,0.5,39.8,71.4,37,37,100
USC,JuJu Watkins,34,34.6,27.1,7.3,3.3,2.3,1.6,4.1,40.1,85.2,31.9,67,210
USC,Kayla Padilla,35,30.7,7.8,1.9,2.6,0.8,0.4,0.8,43.1,77.1,42.8,65,152
USC,McKenzie Forbes,35,34,14.3,3.1,3.3,0.8,0.2,2.2,38.4,78.1,37.4,80,214
Gonzaga,Kaylynne Truong,36,30.1,11.4,2.3,5.8,1.3,0,2.4,42.2,79.2,42.1,93,221
Gonzaga,Brynna Maxwell,36,27,14.2,2.9,0.9,1.1,0.3,1,46.2,86.9,44,96,218
Gonzaga,Eliza Hollingsworth,36,27.1,10.3,7.1,2.2,0.9,0.7,1.4,44.6,85.3,37.3,41,110
Gonzaga,Kayleigh Truong,35,28.1,12.1,2.4,4.4,1.3,0.1,2,43.8,82.1,39.6,76,192
Gonzaga,Esther Little,36,14.6,0.5,2.3,0.7,0.2,0.3,1.3,30.4,50,25,2,8
Texas,Gisella Maul,27,9.4,2.3,1,1.1,0.3,0.1,0.6,32.3,61.5,38.2,13,34
Texas,Shaylee Gonzales,38,31.8,9.4,3.4,2.7,1.6,0.2,1.8,41.4,78.6,38,60,158
Texas,Shay Holle,38,32.7,7.6,2.8,2,1.1,0.7,1.3,47.9,58.5,37.6,35,93
Texas,Aaliyah Moore,33,22,11.3,6.1,1.2,0.7,0.2,1.7,52.9,66.2,28.6,4,14
Texas,Madison Booker,37,30.8,16.5,5,5,1.5,0.4,2.9,45.7,87.6,30.6,19,62
Texas,Ndjakalenga Mwenentanda,35,10.6,3.7,1.7,0.7,0.3,0.3,0.9,44.8,61.8,30,3,10
Duke,Emma Koabel,34,12.2,3,1.1,0.7,0.7,0.3,0.6,35.8,57.1,31.9,23,72
Duke,Reigan Richardson,34,29,12.4,2.5,1.6,1,0.4,2.5,43.8,82.9,30.2,32,106
Duke,Ashlon Jackson,33,29,9.2,2.5,2.6,0.9,0.3,2.1,38.4,78.1,36.2,55,152
Duke,Oluchi Okananwa,34,21.4,9.7,6.1,1.5,1.3,0.3,2.4,47.8,75.9,34.8,31,89
Duke,Kennedy Brown,34,24.5,8.2,5.6,1.5,0.7,1.3,1.9,47.4,87.5,23.1,6,26
Duke,Taina Mair,34,31.1,9.8,3.8,3.6,1.5,0.2,2.6,37.5,87.5,28.5,39,137
NCSU,Saniya Rivers,34,35.2,12.7,6.2,3.8,2.2,0.9,2.5,38.7,73.5,25.8,24,93
NCSU,Aziaha James,37,31.7,16.7,4.6,3,1,0.2,2.2,41.8,77.9,34.4,72,209
NCSU,Madison Hayes,37,31.2,10.4,6.9,1.4,0.7,0.4,1.4,42.3,69.7,40.7,55,135
NCSU,Zoe Brooks,37,26.5,8.9,3.8,3.5,1.4,0.5,1.9,41.7,71.7,18.8,12,64
NCSU,Mimi Collins,36,28.8,10.7,6.2,0.9,0.4,0.5,1.2,45.6,77.6,39.1,36,92
Stanford,Jzaniya Harriel,34,12.7,3.9,1.2,1.3,0.7,0.1,0.7,34.8,53.8,39.5,32,81
Stanford,Hannah Jump,36,34.6,10.6,1.9,2.2,0.6,0.1,0.9,42.8,69.6,37.2,81,218
Stanford,Brooke Demetre,36,20.9,6.3,3.6,1.6,0.4,0.4,1.1,45.3,84.2,37.1,36,97
Stanford,Talana Lepolo,34,30.5,4.8,1.9,4.1,0.4,0,1.7,37,62.5,37.2,35,94
Stanford,Cameron Brink,34,25.4,17.4,11.9,2.8,0.8,3.7,2.4,51.1,83.6,30.4,21,69
Stanford,Elena Bosgana,36,18,6.7,3.5,1.7,0.6,0.2,0.9,41.5,75,31.1,33,106
Stanford,Chloe Clardy,34,9.7,2,0.9,1.2,0.7,0.1,0.7,34.1,52.6,10,2,20
Stanford,Nunu Agara,36,13.8,5.4,2.9,0.6,0.2,0.2,0.7,51.9,86.4,35.3,6,17