Country,Code,ContinentCode,Year,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. dollars,Unemployment rate,Government spending as percent of GDP,Foreign aid and official development assistance received,Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Quality of roads 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Population size in millions,Population density people per square km,Life expectancy in years,Death rate per 1000 people,Cases of Tuberculosis per 100000 people,Suicide mortality rate per 100000 population,Traffic accident deaths per 100000 people,Poverty percent of population,Public spending on education percent of GDP,Happiness Index 0 (unhappy) - 10 (happy)
Afghanistan,AFG,AS,2019,18.8,497.74,11.08,,4137,-2.65,16,,,37.77,58,63.56,6.79,189,4.1,15.9,,,3.2
Albania,ALB,EU,2019,15.4,5396.21,11.47,11.35,27.07,0.11,35,3.9,4.1,2.85,104,79.28,8.48,16,4.3,11.7,21.8,3.92,4.72
Algeria,DZA,AF,2019,171.76,4021.98,12.27,18.34,172,-1.06,35,4,4,42.71,18,76.47,4.39,61,2.5,20.9,,6.04,5.21
Andorra,AND,EU,2019,3.16,41328.61,,,,1.58,,,,0.08,162,,3.9,7.5,,,,3.15,
Angola,AGO,AF,2019,70.9,2191.35,16.5,8.6,21.04,-0.37,26,2.2,3.3,32.35,26,62.45,7.81,351,6.1,26.1,,2.07,
Antigua and Barbuda,ATG,NA,2019,1.73,18730,,,27.45,0.94,,,,0.09,209,78.69,5.86,0,0.4,0,,3.46,
Argentina,ARG,SA,2019,447.75,9963.67,9.84,16.44,8.89,-0.1,45,3.6,4.4,44.94,16,77.28,7.6,29,8.4,14.1,35.5,4.78,6.09
Armenia,ARM,AS,2019,13.62,4828.5,12.2,12.56,417.3,-0.42,42,3.6,4.6,2.82,99,75.44,9.66,26,3.3,20,26.4,2.57,4.56
Aruba,ABW,NA,2019,3.4,31902.81,,22.5,,1.34,,,,0.11,591,76.25,8.78,2.2,,,,,
Australia,AUS,OC,2019,1394.67,55049.57,5.16,20.34,,0.92,77,4.9,5.5,25.33,3,82.9,6.7,6.8,12.5,4.9,,5.13,7.23
Austria,AUT,EU,2019,444.6,50067.59,4.56,19.46,,0.89,77,6,5.2,8.88,108,81.9,9.4,6,14.6,4.9,13.9,5.22,7.25
Azerbaijan,AZE,AS,2019,48.17,4805.75,5,11.12,119.09,-0.69,30,5.2,5.8,10.02,121,73.1,5.6,60,4.1,6.7,,3.18,5.21
Bahamas,BHS,NA,2019,13.06,32279.01,9.93,12.52,,0.8,64,,,0.4,40,71.21,7.94,14,3.5,7.7,,2.7,
Bahrain,BHR,AS,2019,38.65,25869.11,1.22,15.69,,-0.63,42,5.2,5.4,1.49,1916,80.02,2,14,8.9,5.2,,2.38,6.2
Bangladesh,BGD,AS,2019,351.24,2122.08,4.38,6.24,4381.59,-0.93,26,3.2,3.8,165.52,1272,72.81,5.28,221,3.7,15.3,,1.68,4.46
Barbados,BRB,NA,2019,5.34,19063.1,8.41,10.87,,1.03,62,3.2,4.7,0.28,652,77.26,8.91,0,0.6,8.2,,4.11,
Belarus,BLR,EU,2019,64.41,6837.77,4.16,16.84,211.91,0.34,45,,,9.42,46,74.23,12.8,29,21.2,7.6,5,4.98,5.32
Belgium,BEL,EU,2019,535.87,46641.72,5.36,23.04,,0.46,75,4.4,5.6,11.49,379,82,9.5,8.9,18.3,5.8,14.1,6.33,6.92
Belize,BLZ,NA,2019,2.39,6134.22,9.05,18.77,35.47,0.06,,,,0.39,17,73.93,4.73,27,7.1,22.6,,5.91,
Benin,BEN,AF,2019,14.39,1170.89,1.37,10.34,593.16,-0.42,41,3.2,3.9,12.29,109,60.45,9.25,55,7.8,26.8,,3,4.88
Bermuda,BMU,NA,2019,7.42,116153.16,,12.26,,1.05,,,,0.06,1184,81.03,8.4,3.6,,,,1.93,
Bhutan,BTN,AS,2019,2.74,3564.6,2.72,19.12,178.67,1.07,68,,,0.77,20,71.39,6.63,164,4.6,16.2,,4.76,5.08
Bolivia,BOL,SA,2019,40.9,3472.38,3.68,18.14,708.2,-0.73,31,3.5,3.6,11.78,11,67.84,7.13,106,6.2,21.1,37.2,8.09,5.78
Bosnia and Herzegovina,BIH,EU,2019,20.48,6094.72,15.69,19.36,460.52,-0.42,36,2.8,3.5,3.36,66,77.24,12.27,27,10.9,13.5,,,5.39
Botswana,BWA,AF,2019,16.73,6691.16,20.09,31.64,67.66,1.1,61,3.8,3.7,2.5,4,65.46,6.97,253,16.1,26.4,,8.4,3.49
Brazil,BRA,SA,2019,1873.29,8845.32,11.94,19.98,272.5,-0.71,35,3,4.4,211.78,25,75.34,6.57,46,6.9,16,,5.96,6.3
Brunei,BRN,AS,2019,13.47,30748.31,6.6,25.04,,1.11,60,5,4.8,0.44,83,74.75,4.83,64,2.7,7.5,,,
Bulgaria,BGR,EU,2019,68.88,9874.34,4.23,16.71,,0.56,43,3.4,4.5,6.98,64,75.11,15.5,21,9.7,9.2,23.8,4.2,5.01
Burkina Faso,BFA,AF,2019,16.03,765.23,4.71,20.5,1107.79,-1.3,40,2.8,3.4,20.95,77,60.04,8.75,47,7.5,31,,5.41,4.59
Burma (Myanmar),MMR,AS,2019,75.07,1415.38,0.41,,2043.74,-1.33,29,,,53.04,81,66.61,8.69,322,2.9,20.4,,2.14,4.36
Burundi,BDI,AF,2019,2.58,216.97,1.03,27.24,554.17,-1.62,19,3.9,3.8,11.87,462,62.35,7.35,107,6.2,35.5,,5.35,3.78
Cambodia,KHM,AS,2019,27.09,1671.39,0.12,4.81,966.44,-0.08,20,3.6,3.7,16.21,92,70.69,5.95,287,4.9,19.6,,2.83,4.7
Cameroon,CMR,AF,2019,39.67,1538.69,3.66,12.1,1297.49,-1.56,25,2.4,3.3,25.78,55,61.58,8.16,179,9,30.2,,3.05,5.04
Canada,CAN,NA,2019,1743.73,46374.15,5.69,20.66,,0.99,77,5,5.3,37.6,4,82.23,7.6,5.9,11.8,5.3,,4.77,7.28
Cape Verde,CPV,AF,2019,2.25,3903.05,12.15,19.81,151.94,0.86,58,4,3.3,0.58,143,76,5.16,46,12.9,26.8,,4.14,
Central African Republic,CAF,AF,2019,2.22,426.41,6.08,8.04,676.42,-2.14,25,,,5.21,8,55.03,10.87,540,12.3,37.7,,1.77,3.08
Chad,TCD,AF,2019,11.31,701.62,1.06,3.59,641.92,-1.35,20,1.9,2.7,16.13,13,53.26,12.37,142,6.4,32.4,,2.37,4.35
Chile,CHL,SA,2019,278.6,14632.69,7.27,15.24,,-0.02,67,5.2,4.9,19.04,26,80.33,6.35,18,9,14.9,,5.62,6.44
China,CHN,AS,2019,14279.97,10143.86,4.56,16.77,-608.58,-0.26,41,4.6,4.6,1407.75,150,77.97,7.09,58,8.1,17.4,0.6,3.54,5.19
Colombia,COL,SA,2019,323.03,6436.51,10.28,15.77,873.69,-0.98,37,3.4,4.5,50.19,45,76.75,5.41,35,3.9,15.4,35.7,4.51,6.12
Comoros,COM,AF,2019,1.2,1510.8,4.94,10.09,73.53,-0.18,25,,,0.79,425,64.07,8.2,35,5.4,26.6,,,3.97
Costa Rica,CRC,NA,2019,64.42,12669.34,10.81,16.75,55.87,0.43,56,3,4.8,5.08,100,79.43,5.47,10,8.1,14.8,23.9,6.74,7.17
Croatia,HRV,EU,2019,61.47,15120.9,6.62,21.73,,0.69,47,5.6,4.8,4.07,73,78.42,12.7,8.3,16.4,7.9,18.3,3.95,5.43
Cuba,CUB,NA,2019,,,,,,,48,,,,,,,,,,,,
Cyprus,CYP,EU,2019,25.95,29420,7.15,16.09,,0.54,58,5.1,5.1,1.23,133,81.4,6.77,6.2,3.6,5.8,14.3,5.21,6.05
Czechia,CZE,EU,2019,252.55,23664.85,2.02,19.59,,0.94,56,3.9,5,10.67,138,79.23,10.5,5,12.2,5.9,9.5,4.54,6.85
Democratic Republic of the Congo,COD,AF,2019,51.78,575.88,4.67,6.93,2809.22,-1.62,18,2.1,2.8,89.91,40,60.28,9.38,320,6.7,34.9,,,4.42
Denmark,DNK,EU,2019,346.5,59592.98,5.02,24.13,,0.97,87,5.6,5.8,5.81,145,81.45,9.3,5.2,10.7,3.7,12.1,6.91,7.6
Djibouti,DJI,AF,2019,3.09,2876.04,26.31,19.81,262.48,-0.34,30,,,1.07,46,63.08,8.42,212,9.6,23.5,,,
Dominica,DMA,NA,2019,0.61,8561.59,,,51.39,1.03,55,,,0.07,95,73.56,8.37,16,,,,5.53,
Dominican Republic,DOM,NA,2019,88.94,8173.34,6.18,11.07,130.92,-0,28,4.7,5.1,10.88,229,73.58,6.01,42,4.9,64.6,21,4.04,5.43
Ecuador,ECU,SA,2019,108.11,6233.26,3.81,14.41,506.85,-0.24,38,4.9,4.9,17.34,70,77.3,4.91,46,7.6,20.1,25,4.23,6.03
Egypt,EGY,AF,2019,318.68,3017.26,7.85,7.29,1706.4,-1.12,35,5.1,5.1,105.62,106,71.36,5.58,12,3,10.1,29.7,,4.17
El Salvador,SLV,NA,2019,26.88,4280.29,4.17,16.03,302.95,-0.12,34,4.2,4.5,6.28,303,72.56,7.45,60,6.1,20.9,,3.39,6.25
Equatorial Guinea,GNQ,AF,2019,11.36,7317.39,8.33,25.46,62.75,-0.15,16,,,1.55,55,61.64,8.58,286,7.9,27.2,,,
Eritrea,ERI,AF,2019,,,5.93,,266.01,-0.71,23,,,3.5,29,67.3,6.31,86,10.9,37.9,,,
Estonia,EST,EU,2019,31.08,23424.48,4.45,19.54,,0.63,74,4.7,4.6,1.33,31,78.65,11.6,13,14.9,4.5,20.7,5.3,5.89
Ethiopia,ETH,AF,2019,95.91,840.45,2.85,9.19,4676.65,-1.3,37,3,3.3,114.12,101,65.84,6.44,140,5.4,28.2,,4.48,4.29
Faroe Islands,FRO,EU,2019,3.27,63203.75,,27.61,,,,,,0.05,37,82.95,8,,,,,,
Fiji,FJI,OC,2019,5.44,5927.72,4.37,21.24,128.69,0.78,,,,0.92,50,67.89,7.94,66,9,13.5,24.1,5.12,
Finland,FIN,EU,2019,268.51,48629.86,6.69,23.19,,0.84,86,5.3,6.3,5.52,18,81.98,9.8,4.7,15.3,3.9,12.2,6.42,7.77
France,FRA,EU,2019,2728.87,40494.9,8.41,22.98,,0.27,69,5.4,5.5,67.39,123,82.83,9.1,9.1,13.8,5.1,14.2,5.35,6.59
Gabon,GAB,AF,2019,16.87,7523.86,20.37,10.99,115.83,-0.08,31,2.5,3.4,2.24,9,66.6,6.86,521,8.4,23.9,,2.87,4.8
Gambia,GMB,AF,2019,1.81,722.88,4.04,8.24,189.85,0.21,37,3.7,4.4,2.51,248,63.76,7,158,4.8,29.6,,2.65,4.52
Georgia,GEO,AS,2019,17.47,4696.15,11.57,13.11,492.19,-0.5,56,3.8,4.4,3.72,65,73.47,12.88,74,9.2,12.4,19.5,3.87,4.52
Germany,DEU,EU,2019,3889.18,46805.14,3.14,20.25,,0.55,80,5.3,5.5,83.09,238,81.29,11.3,6.1,12.3,3.8,16.1,5.12,6.99
Ghana,GHA,AF,2019,68.34,2167.93,3.17,7.04,910.99,0.12,41,3,3.7,31.52,139,64.74,7.14,144,6.6,25.7,,3.15,5
Gibraltar,GIB,EU,2019,,,,,,,,,,0.03,3269,82.36,8.28,,,,,,
Greece,GRC,EU,2019,205.25,19143.89,17.04,20.18,,0.16,48,4.6,5.4,10.72,83,81.64,11.7,4.7,5.1,8.3,17.7,3.59,5.29
Grenada,GRD,NA,2019,1.21,9887.92,,,14.68,0.94,53,,,0.12,361,74.86,8.01,3.1,0.7,8,,,
Guatemala,GTM,NA,2019,77.17,4647.81,2.19,11.11,388.25,-0.58,26,2.4,4.1,16.6,155,73.13,4.89,26,5.9,22.9,,3.19,6.44
Guinea,GIN,AF,2019,13.44,1043.9,5.02,15.4,562.08,-0.84,29,3.7,5.1,12.88,52,59.72,9.71,176,7,29.7,,1.86,4.53
Guinea-Bissau,GNB,AF,2019,1.44,730.61,3.23,14.78,112.85,-0.56,18,,,1.97,70,60.88,8.21,361,7,32.2,,,
Guyana,GUY,SA,2019,5.17,6477.3,13.52,,111.52,-0.25,40,,,0.8,4,69.12,7.44,78,40.3,22.3,,,
Haiti,HTI,NA,2019,15.02,1345.48,14.09,7.19,695.9,-0.89,18,2.1,2.9,11.16,405,64.25,7.95,170,9.6,18.8,,1.76,3.6
Honduras,HND,NA,2019,25.09,2519.37,5.55,13.49,452.2,-0.57,26,4.1,4.3,9.96,89,72.88,4.32,31,2.1,16.1,48,5.93,5.86
Hong Kong,HKG,AS,2019,363.07,48359,2.92,10.88,,-0.23,76,6.1,6.6,7.51,7150,85.18,6.5,62,,,,3.81,5.43
Hungary,HUN,EU,2019,164.02,16786.21,3.42,20.09,,0.76,44,4,4.6,9.77,107,76.32,13.3,6.2,16.6,7.7,12.3,4.22,5.76
Iceland,ISL,EU,2019,24.68,68452.23,3.51,24.59,,1.62,78,4.1,5.6,0.36,4,83.16,6.3,4.1,11.9,2,,7.61,7.49
India,IND,AS,2019,2835.61,2050.16,6.51,11,2550.32,-0.8,41,4.5,4.9,1383.11,465,70.91,6.71,202,12.7,15.6,,,4.02
Indonesia,IDN,AS,2019,1119.1,4151.23,3.59,8.81,-693.37,-0.5,40,4.2,4.9,269.58,144,70.52,7.54,312,2.4,11.3,9.4,2.84,5.19
Iran,IRN,AS,2019,283.65,3276.75,10.74,15.3,204.44,-1.71,26,3.9,3.1,86.56,53,76.1,4.87,13,5.2,21.5,,3.26,4.55
Iraq,IRQ,AS,2019,233.64,5621.18,14,19.32,2090.97,-2.61,20,,,41.56,96,71.58,4.3,28,3.6,27.3,,,4.44
Ireland,IRL,EU,2019,398.93,80848.3,4.95,12.06,,0.96,74,4.4,5.5,4.93,72,82.7,6.3,5.8,9.6,3.1,13.8,,7.02
Israel,ISR,AS,2019,402.47,44452.23,3.73,22.04,,-0.82,60,4.9,5.4,9.05,418,82.8,5.1,2.9,5.3,3.9,,6.06,7.14
Italy,ITA,EU,2019,2011.3,33673.75,9.95,18.62,,0.38,53,4.4,4.9,59.73,202,83.5,10.6,6.1,6.7,5.3,20,4.1,6.22
Ivory Coast,CIV,AF,2019,59.9,2290.79,2.4,10.26,1173.67,-1.04,35,3.6,4.6,26.15,82,59.32,8.73,137,8.9,24.1,,3.44,4.94
Jamaica,JAM,NA,2019,15.83,5626.17,4.99,13.58,125.17,0.39,43,3.9,5.1,2.81,260,71.77,7.48,3.2,2.4,15.1,,5.16,5.89
Japan,JPN,AS,2019,5117.99,40415.96,2.35,19.95,,1.02,73,6.1,6.2,126.63,347,84.36,11.2,13,15.3,3.6,,3.16,5.89
Jordan,JOR,AS,2019,44.5,4159.65,16.8,16.37,2689.85,-0.27,48,4.2,5.2,10.7,120,76.04,3.15,5.5,1.6,17,,2.99,4.91
Kazakhstan,KAZ,AS,2019,181.67,9812.6,4.8,9.13,53.61,-0.17,34,3.6,4.3,18.51,7,73.18,7.19,68,17.6,12.7,4.3,2.86,5.81
Kenya,KEN,AF,2019,100.38,1970.08,5.01,12.17,3171.92,-1.11,28,4.1,5,50.95,90,62.94,7.29,267,6.1,28.3,,4.58,4.51
Kiribati,KIR,OC,2019,0.18,1410.01,,79.52,56.66,1.12,,,,0.12,153,67.15,6.25,436,28.3,1.9,21.9,13.57,
Kuwait,KWT,AS,2019,136.19,30666.24,2.21,25.22,,0.18,40,3.7,3.6,4.44,249,79.68,2.19,20,2.9,15.4,,,6.02
